Introduction to Computer Science Programming in Python
Introduction to Computational Thinking and Data Science
Computation Structures
Introduction to Algorithms
Introduction to Inference
Fundamentals of Programming
Elements of Software Construction
Computer System Engineering
Artificial Intelligence
Computer Language Engineering
Introduction to Machine Learning
Structure and Interpretation of Computer Programs
A Introduction to Probability I
Introduction to Probability II
Mathematics for Computer Science
"Automata, Computability, and Complexity"
Design and Analysis of Algorithms
"Computational Biology: Genomes, Networks, Evolution"
"Evolutionary Biology: Concepts, Models and Computation"
"Information, Entropy, and Computation"
Introduction to MATLAB
Networks
Optimization Methods
Dynamic Programming and Stochastic Control
